WKT
"POLYGON ((-73.745 40.825839612019699,-73.74466666651125 40.826416962558078,-73.743999999533756 40.826416962558078,-73.743666666045002 40.825839612019699,-73.743999999533756 40.825262261481321,-73.74466666651125 40.825262261481321,-73.745 40.825839612019699))"
"POLYGON ((-73.745 40.826994313096463,-73.74466666651125 40.827571663634842,-73.743999999533756 40.827571663634842,-73.743666666045002 40.826994313096463,-73.743999999533756 40.826416962558078,-73.74466666651125 40.826416962558078,-73.745 40.826994313096463))"
"POLYGON ((-73.745 40.828149014173221,-73.74466666651125 40.828726364711599,-73.743999999533756 40.828726364711599,-73.743666666045002 40.828149014173221,-73.743999999533756 40.827571663634842,-73.74466666651125 40.827571663634842,-73.745 40.828149014173221))"
"POLYGON ((-73.745 40.829303715249978,-73.74466666651125 40.829881065788364,-73.743999999533756 40.829881065788364,-73.743666666045002 40.829303715249978,-73.743999999533756 40.828726364711599,-73.74466666651125 40.828726364711599,-73.745 40.829303715249978))"
"POLYGON ((-73.745 40.830458416326742,-73.74466666651125 40.831035766865121,-73.743999999533756 40.831035766865121,-73.743666666045002 40.830458416326742,-73.743999999533756 40.829881065788364,-73.74466666651125 40.829881065788364,-73.745 40.830458416326742))"
"POLYGON ((-73.745 40.831613117403499,-73.74466666651125 40.832190467941878,-73.743999999533756 40.832190467941878,-73.743666666045002 40.831613117403499,-73.743999999533756 40.831035766865121,-73.74466666651125 40.831035766865121,-73.745 40.831613117403499))"
"POLYGON ((-73.745 40.832767818480264,-73.74466666651125 40.833345169018642,-73.743999999533756 40.833345169018642,-73.743666666045002 40.832767818480264,-73.743999999533756 40.832190467941878,-73.74466666651125 40.832190467941878,-73.745 40.832767818480264))"
"POLYGON ((-73.745 40.833922519557021,-73.74466666651125 40.834499870095399,-73.743999999533756 40.834499870095399,-73.743666666045002 40.833922519557021,-73.743999999533756 40.833345169018642,-73.74466666651125 40.833345169018642,-73.745 40.833922519557021))"
"POLYGON ((-73.745 40.835077220633778,-73.74466666651125 40.835654571172164,-73.743999999533756 40.835654571172164,-73.743666666045002 40.835077220633778,-73.743999999533756 40.834499870095399,-73.74466666651125 40.834499870095399,-73.745 40.835077220633778))"
"POLYGON ((-73.745 40.836231921710542,-73.74466666651125 40.836809272248921,-73.743999999533756 40.836809272248921,-73.743666666045002 40.836231921710542,-73.743999999533756 40.835654571172164,-73.74466666651125 40.835654571172164,-73.745 40.836231921710542))"
"POLYGON ((-73.745 40.837386622787299,-73.74466666651125 40.837963973325678,-73.743999999533756 40.837963973325678,-73.743666666045002 40.837386622787299,-73.743999999533756 40.836809272248921,-73.74466666651125 40.836809272248921,-73.745 40.837386622787299))"
"POLYGON ((-73.745 40.838541323864064,-73.74466666651125 40.839118674402442,-73.743999999533756 40.839118674402442,-73.743666666045002 40.838541323864064,-73.743999999533756 40.837963973325678,-73.74466666651125 40.837963973325678,-73.745 40.838541323864064))"
"POLYGON ((-73.745 40.839696024940821,-73.74466666651125 40.8402733754792,-73.743999999533756 40.8402733754792,-73.743666666045002 40.839696024940821,-73.743999999533756 40.839118674402442,-73.74466666651125 40.839118674402442,-73.745 40.839696024940821))"
"POLYGON ((-73.745 40.840850726017578,-73.74466666651125 40.841428076555964,-73.743999999533756 40.841428076555964,-73.743666666045002 40.840850726017578,-73.743999999533756 40.8402733754792,-73.74466666651125 40.8402733754792,-73.745 40.840850726017578))"
"POLYGON ((-73.745 40.842005427094342,-73.74466666651125 40.842582777632721,-73.743999999533756 40.842582777632721,-73.743666666045002 40.842005427094342,-73.743999999533756 40.841428076555964,-73.74466666651125 40.841428076555964,-73.745 40.842005427094342))"
"POLYGON ((-73.745 40.8431601281711,-73.74466666651125 40.843737478709478,-73.743999999533756 40.843737478709478,-73.743666666045002 40.8431601281711,-73.743999999533756 40.842582777632721,-73.74466666651125 40.842582777632721,-73.745 40.8431601281711))"
"POLYGON ((-73.745 40.844314829247864,-73.74466666651125 40.844892179786243,-73.743999999533756 40.844892179786243,-73.743666666045002 40.844314829247864,-73.743999999533756 40.843737478709478,-73.74466666651125 40.843737478709478,-73.745 40.844314829247864))"
"POLYGON ((-73.745 40.845469530324621,-73.74466666651125 40.846046880863,-73.743999999533756 40.846046880863,-73.743666666045002 40.845469530324621,-73.743999999533756 40.844892179786243,-73.74466666651125 40.844892179786243,-73.745 40.845469530324621))"
"POLYGON ((-73.745 40.846624231401378,-73.74466666651125 40.847201581939764,-73.743999999533756 40.847201581939764,-73.743666666045002 40.846624231401378,-73.743999999533756 40.846046880863,-73.74466666651125 40.846046880863,-73.745 40.846624231401378))"
"POLYGON ((-73.745 40.847778932478143,-73.74466666651125 40.848356283016521,-73.743999999533756 40.848356283016521,-73.743666666045002 40.847778932478143,-73.743999999533756 40.847201581939764,-73.74466666651125 40.847201581939764,-73.745 40.847778932478143))"
"POLYGON ((-73.745 40.8489336335549,-73.74466666651125 40.849510984093278,-73.743999999533756 40.849510984093278,-73.743666666045002 40.8489336335549,-73.743999999533756 40.848356283016521,-73.74466666651125 40.848356283016521,-73.745 40.8489336335549))"
